emp_id,name,age,company_id
124,n124,29,8
125,n125,35,20
126,n126,43,6
127,n127,20,16
128,n128,41,3
129,n129,41,18
130,n130,39,10
131,n131,48,16
132,n132,26,11
133,n133,40,19
134,n134,28,18
135,n135,35,6
136,n136,29,4
137,n137,31,9
138,n138,31,18
139,n139,42,13
140,n140,23,20
141,n141,43,16
142,n142,48,14
143,n143,45,1
144,n144,48,20
145,n145,48,5
146,n146,23,1
147,n147,42,14
148,n148,35,11
149,n149,33,9
150,n150,21,1
151,n151,28,18
152,n152,28,12
153,n153,31,18
154,n154,45,15
155,n155,28,14
156,n156,33,12
157,n157,35,15
158,n158,28,11
159,n159,22,20
160,n160,44,16
161,n161,35,10
162,n162,20,20
163,n163,31,17
164,n164,20,5
165,n165,35,8
166,n166,24,20
167,n167,30,15
168,n168,33,6
169,n169,37,14
170,n170,41,7
171,n171,32,5
172,n172,44,9
173,n173,43,5
174,n174,35,16
175,n175,23,13
176,n176,29,6
177,n177,46,6
178,n178,39,18
179,n179,38,14
180,n180,36,12
181,n181,38,13
182,n182,23,20
183,n183,33,8
184,n184,44,10
185,n185,26,5
186,n186,43,6
187,n187,28,6
188,n188,21,14
189,n189,21,20
190,n190,34,13
191,n191,23,9
192,n192,30,13
193,n193,20,14
194,n194,26,6
195,n195,34,12
196,n196,43,12
197,n197,43,15
198,n198,40,13
199,n199,28,19
200,n200,32,12
